TradeID,TransactionCodeOverrideDescription,TradeDate,SettledDate,SuperSheetDate,TradeAmount,System,DealerNum,DealerBranchBranchCode,RepCode,FirmId,FirmName,OfficeAddressLine1,OfficeCity,OfficeRegionRefCode,OfficePostalCode,PersonFirstName,PersonLastName,LineOfBusiness,Channel,Region,Territory,ProductNasdaqSymbol,ProductName,AccountTANumber,AccountId,ExternalAccountNumber,HoldingId,HoldingExternalAccountNumber,HoldingName
29487,Redemption,8-Jul-19,9-Jul-19,10-Jul-19,452.57,UMB,CREF,999999,999999,46660,"Tiaa-cref Individual & Institutional Services, LLC",8500 ANDREW CARNEGIE BLVD,CHARLOTTE,US-NC,28262-8500,Tiaa-Cref Individual & Institutional Svcs,Charlotte NC House Account,Mutual Fund,Institutional,Institutional,Manley,ARSBX,Aristotle Small Cap Equity Fund - Class I,413002763,6341,UNKNOWN,6581,UNKNOWN,TIAA FSBCUSTFBORETIREMENT PLANS FOR WHICH TIAA ACTS ASRECORD KEEPERATTN TRUST OPERATIONS
29571,Redemption,10-Jul-19,11-Jul-19,12-Jul-19,444.4,UMB,671,0,9999,30431,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",4800 DEER LAKE DR E,JACKSONVILLE,US-FL,32246-6486,Merrill Lynch,House Account,Mutual Fund,Broker Dealer,House,House,ARSOX,Aristotle/Saul Global Opportunities Fund - Class I,413000530,14,413000530,15,413000530,MERRILL LYNCH PIERCE FENNER & SMITHFOR THE SOLE BENEFIT OF ITS CUSTOMERS
31691,Redemption,30-Aug-19,3-Sep-19,4-Sep-19,436.86,UMB,671,0,9999,30431,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",4800 DEER LAKE DR E,JACKSONVILLE,US-FL,32246-6486,Merrill Lynch,House Account,Mutual Fund,Broker Dealer,House,House,ARSOX,Aristotle/Saul Global Opportunities Fund - Class I,413000530,14,413000530,15,413000530,MERRILL LYNCH PIERCE FENNER & SMITHFOR THE SOLE BENEFIT OF ITS CUSTOMERS
30756,Redemption,9-Aug-19,12-Aug-19,13-Aug-19,435.88,UMB,DLJP,P3M,CVH,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Lyle,Wolberg,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413013032,50858,P3M110430,57985,P3M110430,PERSHING LLC
33539,Redemption,22-Aug-19,26-Aug-19,22-Aug-19,429.99,MSSB,15,970,97,31478,Morgan Stanley Smith Barney LLC,HARBORSIDE FINANCIAL CENTER,JERSEY CITY,US-NJ,7311,Morgan Stanley Smith Barney LLC,House Account,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSQX,Aristotle Value Equity Fund - Class I,1.22E+11,57886,,66102,,Morgan Stanley Smith Barney LLC
33587,Redemption,28-Aug-19,30-Aug-19,28-Aug-19,427.1,MSSB,15,970,97,31478,Morgan Stanley Smith Barney LLC,HARBORSIDE FINANCIAL CENTER,JERSEY CITY,US-NJ,7311,Morgan Stanley Smith Barney LLC,House Account,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSQX,Aristotle Value Equity Fund - Class I,1.22E+11,57877,,66093,,Morgan Stanley Smith Barney LLC
30024,Redemption,24-Jul-19,25-Jul-19,26-Jul-19,403.52,UMB,DLJP,P3M,CVH,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Lyle,Wolberg,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413005834,50185,P3M431117,57312,P3M431117,PERSHING LLC
30036,Redemption,24-Jul-19,25-Jul-19,26-Jul-19,403.52,UMB,DLJP,P3M,QW7,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Gary,Ran,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413006673,50457,P3M416027,57584,P3M416027,PERSHING LLC
33758,Redemption,25-Sep-19,27-Sep-19,25-Sep-19,402.04,MSSB,15,526,526-055/Q,31478,Morgan Stanley Smith Barney LLC,3803 W CHESTER PIKE,NEWTOWN SQUARE,US-PA,19073-2333,Krista / Thomas,Finegan / O'rourke,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSQX,Aristotle Value Equity Fund - Class I,5.26E+11,58356,,66572,,Morgan Stanley Smith Barney LLC
29185,Redemption,3-Jul-19,5-Jul-19,8-Jul-19,401.95,UMB,CREF,999999,999999,46660,"Tiaa-cref Individual & Institutional Services, LLC",8500 ANDREW CARNEGIE BLVD,CHARLOTTE,US-NC,28262-8500,Tiaa-Cref Individual & Institutional Svcs,Charlotte NC House Account,Mutual Fund,Institutional,Institutional,Manley,ARSBX,Aristotle Small Cap Equity Fund - Class I,413002763,6341,UNKNOWN,6581,UNKNOWN,TIAA FSBCUSTFBORETIREMENT PLANS FOR WHICH TIAA ACTS ASRECORD KEEPERATTN TRUST OPERATIONS
